ASVs	Domain	Phylum	Class	Order	Family	Genus	Species
003f525639e8fb92875091e8986af147	Unassigned						
0005fc4f7b501df7568b84733f475239	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae		
0044caf1215d8862ce5894db07f0c267	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	uncultured		
0021c01e58a231eaa7fd8f1881aec010	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria		
000de347bf8ffe8d3534a735ad276b58	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae		
0041af676691a11365333b605f069d41	Bacteria	Chloroflexi	Anaerolineae	SBR1031	A4b		
0006d3fb67b1126d862509f574dfbcc2	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured	uncultured_bacterium
001959ede60b18464b40806033d0e1af	Bacteria	Planctomycetota	Phycisphaerae	Pla1_lineage	uncultured_bacterium		
000ab1984f77478111b4d2a80b6159c0	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Parachlamydiaceae	Candidatus_Protochlamydia	
0002177e8f02e0e9704cbd1c1e9e4ddc	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	
004408bd3e4a19ed2af239433fbd8ce6	Bacteria	Proteobacteria	Gammaproteobacteria	Diplorickettsiales	Diplorickettsiaceae	uncultured	
0022bed9ae9ae5d3bbbaaf599534049d	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Tumebacillus	uncultured_bacterium
0016afc5b3946241fe859e70de162531	Bacteria	Myxococcota	Polyangia	Blfdi19	uncultured_bacterium		
004cc56d50a4a39f048cdc8b89fbac3f	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	uncultured_bacterium
004cc0283bce60698fcad1a3016fcb1d	Bacteria	Bdellovibrionota	Oligoflexia	0319_6G20			
001716e7a7d05e71fc24f4576704b5e0	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	Vicinamibacteraceae	Vicinamibacter	
0027a6a9bc4c14d972039d32fd38b056	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	
000689a9366f9a15dd33f912b6a005ba	Bacteria	Proteobacteria	Gammaproteobacteria				
