Combination	Core
a 3 (3 reps)	426
a 3 (3 reps)	466
a 3 (3 reps)	413
b 6 (4 reps)	414
b 6 (4 reps)	387
b 6 (4 reps)	384
b 6 (4 reps)	426
b 6 (4 reps)	466
b 6 (4 reps)	413
c 10 (5 reps)	397
c 10 (5 reps)	463
c 10 (5 reps)	402
c 10 (5 reps)	452
c 10 (5 reps)	414
c 10 (5 reps)	387
c 10 (5 reps)	384
c 10 (5 reps)	426
c 10 (5 reps)	466
c 10 (5 reps)	413
d 15 (6 reps)	409
d 15 (6 reps)	366
d 15 (6 reps)	434
d 15 (6 reps)	372
d 15 (6 reps)	409
d 15 (6 reps)	397
d 15 (6 reps)	463
d 15 (6 reps)	402
d 15 (6 reps)	452
d 15 (6 reps)	414
d 15 (6 reps)	387
d 15 (6 reps)	384
d 15 (6 reps)	426
d 15 (6 reps)	466
d 15 (6 reps)	413
e 21 (7 reps)	440
e 21 (7 reps)	492
e 21 (7 reps)	431
e 21 (7 reps)	503
e 21 (7 reps)	451
e 21 (7 reps)	504
e 21 (7 reps)	409
e 21 (7 reps)	366
e 21 (7 reps)	434
e 21 (7 reps)	372
e 21 (7 reps)	409
e 21 (7 reps)	397
e 21 (7 reps)	463
e 21 (7 reps)	402
e 21 (7 reps)	452
e 21 (7 reps)	414
e 21 (7 reps)	387
e 21 (7 reps)	384
e 21 (7 reps)	426
e 21 (7 reps)	466
e 21 (7 reps)	413
f 28 (8 reps)	485
f 28 (8 reps)	406
f 28 (8 reps)	423
f 28 (8 reps)	390
f 28 (8 reps)	473
f 28 (8 reps)	412
f 28 (8 reps)	438
f 28 (8 reps)	440
f 28 (8 reps)	492
f 28 (8 reps)	431
f 28 (8 reps)	503
f 28 (8 reps)	451
f 28 (8 reps)	504
f 28 (8 reps)	409
f 28 (8 reps)	366
f 28 (8 reps)	434
f 28 (8 reps)	372
f 28 (8 reps)	409
f 28 (8 reps)	397
f 28 (8 reps)	463
f 28 (8 reps)	402
f 28 (8 reps)	452
f 28 (8 reps)	414
f 28 (8 reps)	387
f 28 (8 reps)	384
f 28 (8 reps)	426
f 28 (8 reps)	466
f 28 (8 reps)	413
