Treatment	Core
a2.2	545
a2.2	551
a2.2	551
a2.2	584
a2.2	547
a2.2	568
a2.2	549
a2.2	489
a2.2	495
a2.2	518
a2.2	506
a2.2	523
a2.2	518
a2.2	528
a2.2	541
a2.2	532
a2.2	511
a2.2	518
a2.2	543
a2.2	536
a2.2	533
a2.2	532
a2.2	541
a2.2	527
a2.2	526
a2.2	524
a2.2	528
a2.2	521
b5	549
b5	459
b5	457
b5	555
b5	507
b5	505
b5	477
b5	465
b5	471
b5	589
b5	523
b5	548
b5	512
b5	406
b5	488
b5	437
b5	433
b5	412
b5	495
b5	424
b5	421
b5	420
b5	527
b5	553
b5	512
b5	495
b5	461
b5	466
c8	429
c8	404
c8	491
c8	402
c8	474
c8	558
c8	570
c8	391
c8	433
c8	373
c8	429
c8	496
c8	490
c8	430
c8	392
c8	420
c8	487
c8	462
c8	431
c8	492
c8	549
c8	558
c8	405
c8	449
c8	455
c8	541
c8	540
c8	645
d16	485
d16	406
d16	423
d16	390
d16	473
d16	412
d16	438
d16	440
d16	492
d16	431
d16	503
d16	451
d16	504
d16	409
d16	366
d16	434
d16	372
d16	409
d16	397
d16	463
d16	402
d16	452
d16	414
d16	387
d16	384
d16	426
d16	466
d16	413
