Phylum	Family	Chidham	RedLammas	Victor	Avalon	Gallant	Crusoe
Actinobacteriota	67_14	1.525440679	1.688597023	1.692405274	1.66540062	1.958279126	1.964637177
Firmicutes	Bacillaceae	9.174946662	10.76388324	10.56690298	13.82103439	10.57948077	11.32747474
Myxococcota	BIrii41	0.871065893	0.69990733	0.76458799	0.605540327	0.810632354	0.855054972
Acidobacteriota	Blastocatellaceae	1.498337656	1.318423093	1.199491021	1.763343759	1.336889312	1.739554685
Proteobacteria	Caulobacteraceae	1.119045266	1.317400525	1.017512619	0.736979809	0.592958473	1.533341834
Actinobacteriota	Cellulomonadaceae	0.502002342	0.306355768	0.438070689	0.317417861	0.351229371	0.242864488
Proteobacteria	Cellvibrionaceae	0.924555832	0.345530019	0.720652352	0.444622057	0.215527046	0.42560132
Bacteroidota	Chitinophagaceae	2.558046598	2.429595702	2.608225358	3.589373146	3.453008776	2.372763985
Verrucomicrobiota	Chthoniobacteraceae	3.273905988	3.243808424	2.782777037	3.213225501	3.912488803	2.461621486
Proteobacteria	Comamonadaceae	3.233505878	4.079189789	3.522384033	2.868577413	3.311855521	3.300127131
Proteobacteria	Devosiaceae	0.905994194	0.697393154	0.776353971	0.784217733	0.914783413	1.089183441
Proteobacteria	Dongiaceae	0.987808623	0.604793673	0.883894078	0.924161345	1.372394231	0.955013325
Fibrobacterota	Fibrobacteraceae	0.701434114	0.798304325	0.732713916	0.696312101	0.609845558	0.973142987
Bacteroidota	Flavobacteriaceae	0.890852751	0.520222332	0.885712485	0.756745597	0.453756676	0.676685173
Actinobacteriota	Gaiellaceae	1.323777904	1.140529825	1.254010994	1.253994789	1.18873613	1.116904228
Bacteroidota	Hymenobacteraceae	0.361518449	0.411372117	0.493870083	0.491172173	0.468113081	0.638131386
Actinobacteriota	Intrasporangiaceae	1.183989425	1.354242982	1.247169851	0.56702581	0.645737837	0.838406137
Proteobacteria	Methyloligellaceae	2.816906861	2.761546887	3.131220337	2.978711153	3.453720526	3.08920188
Actinobacteriota	Microbacteriaceae	0.702532843	0.551346658	0.619685748	0.753050036	0.680057879	0.809480755
Actinobacteriota	Micrococcaceae	6.176522502	4.247799996	5.739421651	2.596486876	2.791660755	3.474717572
Bacteroidota	Microscillaceae	0.325940879	0.450135073	0.367648185	0.851361695	0.864603757	0.622571776
Myxococcota	Myxococcaceae	0.318408253	0.489166361	0.537290348	0.52017488	0.465070325	0.421400388
Proteobacteria	Nitrosomonadaceae	1.728735424	1.988808586	1.662875153	1.612636426	1.302224502	1.192356379
Crenarchaeota	Nitrososphaeraceae	3.241384444	3.758592278	2.956414268	5.710733213	3.952378439	4.610011218
Nitrospirota	Nitrospiraceae	0.780370159	1.082312034	1.090988176	1.26084135	1.352122161	1.046479981
Actinobacteriota	Nocardioidaceae	0.589426713	0.560766574	0.504906742	0.409965696	0.401801464	0.270868638
Proteobacteria	Oxalobacteraceae	4.704214309	4.137883186	4.978180598	2.900276513	2.672361705	3.94593994
Verrucomicrobiota	Pedosphaeraceae	1.196936785	1.495973127	1.315893889	1.844840216	2.431569482	1.756883563
Actinobacteriota	Promicromonosporaceae	0.586062529	0.301137883	0.272709633	0.852368989	0.364506464	0.419121374
Acidobacteriota	Pyrinomonadaceae	2.206324123	2.225109342	1.814404276	3.063750734	2.866481562	2.297424853
Proteobacteria	Reyranellaceae	0.623595769	0.505745714	0.603770219	0.557181557	0.626682559	0.563410476
Proteobacteria	Rhizobiaceae	1.032558581	0.958019482	1.01210475	0.759906271	1.179855535	0.967227584
Proteobacteria	Rhodanobacteraceae	1.053950237	1.308976015	1.152378432	0.349877414	0.400432543	0.428982182
Verrucomicrobiota	Rubritaleaceae	0.490854164	0.724851655	0.427117424	0.359317549	0.454039903	0.482364277
Proteobacteria	SC_I_84	0.577732477	0.593757239	0.585886513	0.483204864	0.568425627	0.521012676
Actinobacteriota	Solirubrobacteraceae	0.849685876	1.025313496	0.785380757	0.747560427	0.80308369	0.691596596
Bacteroidota	Sphingobacteriaceae	3.387133216	3.359627335	4.076686593	0.932882529	0.684241813	1.847697842
Proteobacteria	Sphingomonadaceae	2.869396441	2.748246244	3.135327749	1.92587733	1.784271521	2.932661775
Proteobacteria	Steroidobacteraceae	1.02453361	1.017055985	0.993934376	1.327226605	1.172065131	1.194378096
Actinobacteriota	Streptomycetaceae	0.952821632	0.606342295	0.784919829	0.502147235	0.704403816	0.939903715
Proteobacteria	Sutterellaceae	0.744872865	1.286468567	0.821690291	1.608680871	1.260129033	1.577659301
Proteobacteria	TRA3_20	0.871574159	0.748505081	0.925234829	0.963093423	1.14993968	0.612528055
Acidobacteriota	uncultured_Acidobacteriota	3.475326047	3.480333154	2.60692779	3.924308432	4.37637041	4.357062963
Actinobacteriota	uncultured_Actinobacteriota	1.243329962	1.306356628	1.2491298	1.460466616	1.658594938	1.221918152
Chloroflexi	uncultured_Chloroflexi	1.661755593	1.423021288	1.099559119	1.529913597	1.673435024	1.602315625
Myxococcota	uncultured_Myxococcota	1.584812266	1.817280828	1.681419041	2.573006372	2.359282094	2.106767476
Proteobacteria	uncultured_Proteobacteria	3.30332867	3.365327247	3.02665554	3.682117142	4.170062345	3.849423903
Acidobacteriota	Vicinamibacteraceae	1.954022154	2.256104423	1.71996791	2.360561503	2.662129252	2.196321237
Proteobacteria	Xanthobacteraceae	9.662141128	9.099705074	10.55415335	8.036124563	10.9858478	8.71631068
Proteobacteria	Xanthomonadaceae	2.438076086	2.615768119	2.574157231	1.727515673	1.572858399	2.399754772
Verrucomicrobiota	Xiphinematobacteraceae	0.992441668	1.32364052	0.788849713	1.614237124	1.28262732	1.449026429
