FeatureID	Domain	Phylum	Class	Order	Family	Genus	Species
f5d66ac8e340322f870944a8febebc94	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Devosiaceae	Devosia	uncultured_bacterium
ec4a1999a563819c78610cf9d60067f0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	uncultured_Methyloligellaceae	
4ab4f08739916f845bd20667215c21d4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Bradyrhizobium	
d158695020ba01e14ccb59dfd2b7bd26	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured_Chitinophagaceae	uncultured_bacterium
ae340664064e162288a9691708408529	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter	uncultured_bacterium
8ceb6cf494002de0a556feba6a4ee7ed	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter	
fe921b02eda3d43119c3a54990546641	Bacteria	Actinobacteriota	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	
4b434210254f3eaab8ea751f20342645	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	uncultured_bacterium
0406e88f2dac01cbe118c98ed2bddda7	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Arenimonas	uncultured_bacterium
a95c0e18697e81610963fb42676cb923	Bacteria	Chloroflexi	KD4_96	uncultured_bacterium	uncultured_Chloroflexi	uncultured_Chloroflexi	
